%6|1775007018.543|FAIL|rdkafka#producer-1| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Disconnected: connection reset by peer (after 11ms in state APIVERSION_QUERY)
%6|1775007018.709|FAIL|rdkafka#producer-1| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Disconnected: connection reset by peer (after 0ms in state APIVERSION_QUERY, 1 identical error(s) suppressed)
Produced: {'sensor_id': 'reactor_core', 'temp': 1285.0907805547458}
Produced: {'sensor_id': 'reactor_core', 'temp': 651.7060692040213}
Produced: {'sensor_id': 'reactor_core', 'temp': 523.5497791606147}
Produced: {'sensor_id': 'reactor_core', 'temp': 1100.2380852020983}
Produced: {'sensor_id': 'reactor_core', 'temp': 662.209885530257}
Produced: {'sensor_id': 'reactor_core', 'temp': 512.8386773624187}
Produced: {'sensor_id': 'reactor_core', 'temp': 1452.8381144637328}
Produced: {'sensor_id': 'reactor_core', 'temp': 1349.9629697810665}
Produced: {'sensor_id': 'reactor_core', 'temp': 580.1805614138505}
Produced: {'sensor_id': 'reactor_core', 'temp': 1300.6765194329278}
Produced: {'sensor_id': 'reactor_core', 'temp': 787.1735746543643}
Produced: {'sensor_id': 'reactor_core', 'temp': 1232.5160936155896}
Produced: {'sensor_id': 'reactor_core', 'temp': 717.4534694338788}
Produced: {'sensor_id': 'reactor_core', 'temp': 573.8710461528727}
Produced: {'sensor_id': 'reactor_core', 'temp': 1348.2415502483273}
Produced: {'sensor_id': 'reactor_core', 'temp': 1364.3842711913685}
Produced: {'sensor_id': 'reactor_core', 'temp': 1087.396092995827}
Produced: {'sensor_id': 'reactor_core', 'temp': 1174.6380392331296}
Produced: {'sensor_id': 'reactor_core', 'temp': 718.7287037522473}
Produced: {'sensor_id': 'reactor_core', 'temp': 1472.838842654624}
Produced: {'sensor_id': 'reactor_core', 'temp': 1270.060094769646}
Produced: {'sensor_id': 'reactor_core', 'temp': 1393.6854005864502}
Produced: {'sensor_id': 'reactor_core', 'temp': 976.6005136320588}
Produced: {'sensor_id': 'reactor_core', 'temp': 1127.2016431202283}
Produced: {'sensor_id': 'reactor_core', 'temp': 757.4654732625386}
Produced: {'sensor_id': 'reactor_core', 'temp': 639.2571176048486}
Produced: {'sensor_id': 'reactor_core', 'temp': 883.7797107009208}
Produced: {'sensor_id': 'reactor_core', 'temp': 1263.6142197368254}
Produced: {'sensor_id': 'reactor_core', 'temp': 618.3788001382912}
Produced: {'sensor_id': 'reactor_core', 'temp': 818.0107766569301}
Produced: {'sensor_id': 'reactor_core', 'temp': 1140.9165859251702}
Produced: {'sensor_id': 'reactor_core', 'temp': 1497.9141510920579}
Produced: {'sensor_id': 'reactor_core', 'temp': 1241.1817575255454}
Produced: {'sensor_id': 'reactor_core', 'temp': 508.86223965150066}
Produced: {'sensor_id': 'reactor_core', 'temp': 1275.7011258546913}
Produced: {'sensor_id': 'reactor_core', 'temp': 1411.5691227471898}
Produced: {'sensor_id': 'reactor_core', 'temp': 576.3306923928576}
Produced: {'sensor_id': 'reactor_core', 'temp': 1020.8502206305265}
Produced: {'sensor_id': 'reactor_core', 'temp': 796.0400496423551}
Produced: {'sensor_id': 'reactor_core', 'temp': 856.5154890859001}
Produced: {'sensor_id': 'reactor_core', 'temp': 531.6879105961419}
Produced: {'sensor_id': 'reactor_core', 'temp': 588.5312084391109}
Produced: {'sensor_id': 'reactor_core', 'temp': 643.2432106777164}
Produced: {'sensor_id': 'reactor_core', 'temp': 504.03235738341533}
Produced: {'sensor_id': 'reactor_core', 'temp': 989.3842664697286}
Produced: {'sensor_id': 'reactor_core', 'temp': 630.0403652392592}
Produced: {'sensor_id': 'reactor_core', 'temp': 673.4037440070741}
Produced: {'sensor_id': 'reactor_core', 'temp': 1082.0368739724}
Produced: {'sensor_id': 'reactor_core', 'temp': 773.2438883426572}
Produced: {'sensor_id': 'reactor_core', 'temp': 1444.642833034881}
Produced: {'sensor_id': 'reactor_core', 'temp': 1076.1282794688}
Produced: {'sensor_id': 'reactor_core', 'temp': 1383.9150726052467}
Produced: {'sensor_id': 'reactor_core', 'temp': 1432.8121875544966}
Produced: {'sensor_id': 'reactor_core', 'temp': 582.9608801733611}
Produced: {'sensor_id': 'reactor_core', 'temp': 647.7571980714272}
Produced: {'sensor_id': 'reactor_core', 'temp': 1232.3045535860415}
Produced: {'sensor_id': 'reactor_core', 'temp': 1387.8062357121958}
Produced: {'sensor_id': 'reactor_core', 'temp': 591.8071523352669}
Produced: {'sensor_id': 'reactor_core', 'temp': 1113.113393494509}
Produced: {'sensor_id': 'reactor_core', 'temp': 830.6700761916794}
Produced: {'sensor_id': 'reactor_core', 'temp': 1175.7714714781705}
Produced: {'sensor_id': 'reactor_core', 'temp': 1445.3135576936913}
Produced: {'sensor_id': 'reactor_core', 'temp': 1189.1898107704951}
Produced: {'sensor_id': 'reactor_core', 'temp': 1481.783680642889}
Produced: {'sensor_id': 'reactor_core', 'temp': 1285.99213797243}
Produced: {'sensor_id': 'reactor_core', 'temp': 844.0762284266848}
Produced: {'sensor_id': 'reactor_core', 'temp': 1440.1253925063124}
Produced: {'sensor_id': 'reactor_core', 'temp': 1100.7770030756487}
Produced: {'sensor_id': 'reactor_core', 'temp': 797.5165097125239}
Produced: {'sensor_id': 'reactor_core', 'temp': 1028.1689417354305}
Produced: {'sensor_id': 'reactor_core', 'temp': 1112.6944095363356}
Produced: {'sensor_id': 'reactor_core', 'temp': 1182.8402773554908}
Produced: {'sensor_id': 'reactor_core', 'temp': 1100.3925848990534}
Produced: {'sensor_id': 'reactor_core', 'temp': 599.5164807458272}
Produced: {'sensor_id': 'reactor_core', 'temp': 957.1763818170605}
Produced: {'sensor_id': 'reactor_core', 'temp': 709.1695674662282}
Produced: {'sensor_id': 'reactor_core', 'temp': 542.9680571295273}
Produced: {'sensor_id': 'reactor_core', 'temp': 1387.1256303270188}
Produced: {'sensor_id': 'reactor_core', 'temp': 625.9589922917676}
Produced: {'sensor_id': 'reactor_core', 'temp': 990.1434095255072}
Produced: {'sensor_id': 'reactor_core', 'temp': 1094.92773444865}
Produced: {'sensor_id': 'reactor_core', 'temp': 1106.5114161476333}
Produced: {'sensor_id': 'reactor_core', 'temp': 573.7896974574982}
Produced: {'sensor_id': 'reactor_core', 'temp': 678.7826133478436}
Produced: {'sensor_id': 'reactor_core', 'temp': 1218.5247922437504}
Produced: {'sensor_id': 'reactor_core', 'temp': 557.4054851959695}
Produced: {'sensor_id': 'reactor_core', 'temp': 1308.0316083823452}
Produced: {'sensor_id': 'reactor_core', 'temp': 1294.127126302123}
Produced: {'sensor_id': 'reactor_core', 'temp': 1045.7761231135282}
Produced: {'sensor_id': 'reactor_core', 'temp': 737.3997395540121}
Produced: {'sensor_id': 'reactor_core', 'temp': 1411.698722750675}
Produced: {'sensor_id': 'reactor_core', 'temp': 577.5208299796633}
